Title: Hands-30 second Ad

Time Frame  	Character 	 Dialogue 
0:06	        narrator 	   there is <#> one</#> thing in life that will
0:07	        narrator 	   never change
0:12	        narrator 	   that you can learn all you need to know
0:13	        narrator 	   about a person
0:17	        narrator 	   and what they 
0:19	        narrator 	   hold close
0:22	        narrator 	   how they treat others
0:26	        narrator 	   and how they do their job
